ts_ms,funding_rate
1676476800000,-0.00013872
1676505600000,0.00004117
1676534400000,0.0001
1676563200000,0.0001
1676592000000,0.0001
1676620800000,-0.00011836
1676649600000,-0.00006658
1676678400000,0.00005817
1676707200000,-0.00000341
1676736000000,-0.00008848
1676764800000,-0.00008562
1676793600000,0.00006271
1676822400000,0.00009162
1676851200000,-0.00010697
1676880000000,-0.00003092
1676908800000,0.00001099
1676937600000,0.0001
1676966400000,-0.00001512
1676995200000,-0.00001904
1677024000000,0.00007064
1677052800000,-0.00014093
1677081600000,-0.00021249
1677110400000,0.00003022
1677139200000,0.00004676
1677168000000,0.00007593
1677196800000,-0.00020682
1677225600000,0.00006837
1677254400000,0.00004814
1677283200000,0.00003288
1677312000000,0.00000448
1677340800000,-0.00008999
1677369600000,-0.00023097
1677398400000,-0.00006415
1677427200000,-0.00009385
1677456000000,0.0000025
1677484800000,-0.00014764
1677513600000,0.00007902
1677542400000,-0.00019752
1677571200000,-0.00008991
1677600000000,-0.00011868
1677628800000,-0.00023207
1677657600000,0.0001
1677686400000,0.0001
1677715200000,-0.00011398
1677744000000,-0.00023286
1677772800000,-0.00027946
1677801600000,-0.00008226
1677830400000,-0.00022535
1677859200000,0.00002858
1677888000000,0.00001491
1677916800000,-0.00007253
1677945600000,-0.00024797
1677974400000,-0.00012932
1678003200000,0.00007891
1678032000000,-0.00000779
1678060800000,0.0000585
1678089600000,-0.00006398
1678118400000,-0.00016527
1678147200000,-0.00022276
1678176000000,0.00006664
1678204800000,-0.00027963
1678233600000,0.00007471
1678262400000,0.00001861
1678291200000,-0.00003104
1678320000000,-0.00011476
1678348800000,0.00005627
1678377600000,0.0001
1678406400000,-0.00020516
1678435200000,-0.00022765
1678464000000,-0.00031817
1678492800000,-0.00020543
1678521600000,-0.00067052
1678550400000,-0.00061132
1678579200000,-0.00017934
1678608000000,0.00001558
1678636800000,0.00006345
1678665600000,0.0001
1678694400000,0.0001
1678723200000,0.0001
1678752000000,0.0001
1678780800000,0.0001
1678809600000,0.0001
1678838400000,0.0001
1678867200000,0.0001
1678896000000,0.0001
1678924800000,0.00004981
1678953600000,0.0001
1678982400000,0.0001
1679011200000,-0.00134475
1679040000000,-0.0010798
1679068800000,-0.00106144
1679097600000,-0.001411
1679126400000,-0.00067047
1679155200000,-0.00099612
1679184000000,-0.00188478
1679212800000,-0.00132892
1679241600000,-0.00118066
1679270400000,-0.00202368
1679299200000,-0.00213269
1679328000000,-0.00128524
1679356800000,-0.00085224
1679385600000,-0.00146399
1679414400000,-0.00143338
1679443200000,-0.00234347
1679472000000,-0.00164624
1679500800000,-0.00076892
1679529600000,-0.00016705
1679558400000,-0.00006057
1679587200000,-0.00032671
1679616000000,-0.00051366
1679644800000,-0.00029449
1679673600000,-0.00043649
1679702400000,-0.00031068
1679731200000,-0.00012661
1679760000000,-0.00005456
1679788800000,-0.00032339
1679817600000,-0.00015644
1679846400000,-0.00019588
1679875200000,-0.0002657
1679904000000,-0.00053278
1679932800000,-0.00040079
1679961600000,-0.00091639
1679990400000,-0.0002405
1680019200000,-0.00012982
1680048000000,-0.00012938
1680076800000,-0.00001336
1680105600000,-0.00018105
1680134400000,-0.00009563
1680163200000,0.00001434
1680192000000,-0.00023346
1680220800000,-0.00037481
1680249600000,-0.00067502
1680278400000,-0.00031603
1680307200000,-0.00075282
1680336000000,-0.00019731
1680364800000,-0.00017857
1680393600000,-0.00053884
1680422400000,-0.00056643
