ts_ms,funding_rate
1676678400000,0.0001
1676707200000,0.0001
1676736000000,0.0001
1676764800000,0.0001
1676793600000,0.0001
1676822400000,0.0001
1676851200000,0.0001
1676880000000,0.0001
1676908800000,0.0001
1676937600000,0.0001
1676966400000,0.0001
1676995200000,0.0001
1677024000000,0.0001
1677052800000,0.0001
1677081600000,0.0001
1677110400000,0.0001
1677139200000,0.0001
1677168000000,0.0001
1677196800000,0.0001
1677225600000,0.0001
1677254400000,0.0001
1677283200000,0.0001
1677312000000,0.0001
1677340800000,0.0001
1677369600000,0.0001
1677398400000,0.0001
1677427200000,0.0001
1677456000000,0.0001
1677484800000,0.0001
1677513600000,0.0001
1677542400000,0.0001
1677571200000,0.0001
1677600000000,0.0001
1677628800000,0.0001
1677657600000,0.0001
1677686400000,0.0001
1677715200000,0.0001
1677744000000,0.0001
1677772800000,0.0001
1677801600000,0.0001
1677830400000,0.0001
1677859200000,0.0001
1677888000000,0.0001
1677916800000,0.00005761
1677945600000,0.00002137
1677974400000,0.0001
1678003200000,0.00003899
1678032000000,0.0001
1678060800000,0.00003621
1678089600000,-0.00000853
1678118400000,0.00003329
1678147200000,0.00003018
1678176000000,0.00003779
1678204800000,0.0001
1678233600000,0.0001
1678262400000,0.00005819
1678291200000,0.0001
1678320000000,0.0001
1678348800000,0.0001
1678377600000,0.0001
1678406400000,0.0001
1678435200000,0.00002191
1678464000000,0.00005194
1678492800000,0.00007963
1678521600000,0.00002727
1678550400000,0.0001
1678579200000,0.0001
1678608000000,0.0001
1678636800000,0.00009121
1678665600000,0.0001
1678694400000,-0.0000281
1678723200000,0.0001
1678752000000,0.00012226
1678780800000,0.0001
1678809600000,0.0001
1678838400000,0.0001
1678867200000,0.0001719
1678896000000,0.0001
1678924800000,0.0001
1678953600000,0.0001
1678982400000,0.0001
1679011200000,0.0001
1679040000000,0.0001
1679068800000,0.0001
1679097600000,0.0001
1679126400000,0.0001
1679155200000,0.0001
1679184000000,0.0001
1679212800000,0.0001
1679241600000,0.0001
1679270400000,0.0001
1679299200000,0.0001
1679328000000,0.0001
1679356800000,0.0001
1679385600000,0.00003085
1679414400000,0.00007882
1679443200000,-0.00000795
1679472000000,0.00006154
1679500800000,0.00006755
1679529600000,-0.00000895
1679558400000,0.00008682
1679587200000,0.0001
1679616000000,0.0001
1679644800000,0.0001
1679673600000,0.00006691
1679702400000,0.0001
1679731200000,0.0001
1679760000000,0.00003954
1679788800000,0.00002751
1679817600000,-0.000042
1679846400000,0.00004325
1679875200000,0.00007762
1679904000000,0.00000965
1679932800000,0.00004464
1679961600000,0.00001868
1679990400000,0.00008063
1680019200000,0.0001
1680048000000,-0.00005442
1680076800000,-0.00001909
1680105600000,0.0001
1680134400000,0.0001
1680163200000,0.0001
1680192000000,0.0001
1680220800000,0.00008299
1680249600000,0.00003594
1680278400000,-0.00002597
1680307200000,0.00000012
1680336000000,-0.00001623
1680364800000,0.0000014
1680393600000,0.00001637
1680422400000,0.00004341
1680451200000,0.00004779
1680480000000,0.00009336
1680508800000,0.00004414
1680537600000,0.00002306
1680566400000,-0.00000531
1680595200000,-0.00000816
1680624000000,-0.00001772
1680652800000,-0.00008251
1680681600000,0.0001
1680710400000,0.0001
1680739200000,0.00003404
1680768000000,0.00001126
1680796800000,-0.00000396
1680825600000,0.00007384
1680854400000,0.00009198
1680883200000,0.00004025
1680912000000,0.00005402
1680940800000,0.00004401
1680969600000,0.00005449
1680998400000,0.00008156
1681027200000,0.00001394
1681056000000,0.00006249
1681084800000,0.00002949
1681113600000,-0.00005131
1681142400000,-0.00000271
1681171200000,-0.00000638
1681200000000,0.0001
1681228800000,0.0001
1681257600000,0.0001
1681286400000,0.0001
1681315200000,0.00006271
1681344000000,0.00005908
1681372800000,0.0001
1681401600000,0.0001
1681430400000,0.0001
1681459200000,0.0001
1681488000000,0.0001
1681516800000,0.00000407
1681545600000,0.0001
1681574400000,0.0001
1681603200000,0.0001
1681632000000,0.0001
1681660800000,0.0001
1681689600000,0.0001
1681718400000,0.0001
1681747200000,0.0001
1681776000000,0.0001
1681804800000,0.0001
1681833600000,0.0001
1681862400000,0.0001
1681891200000,0.0001
1681920000000,0.0001
1681948800000,0.0001
1681977600000,0.0001
1682006400000,0.0001
1682035200000,0.0001
1682064000000,0.0001
1682092800000,0.0001
1682121600000,0.0001
1682150400000,0.0001
1682179200000,0.0001
1682208000000,0.0001
1682236800000,0.0001
1682265600000,0.00008685
1682294400000,0.0001
1682323200000,0.0001
1682352000000,0.00003695
1682380800000,0.00007732
1682409600000,0.0001
1682438400000,0.00007472
1682467200000,-0.00000066
1682496000000,0.00001456
1682524800000,0.00005947
1682553600000,0.0001
1682582400000,0.00008932
1682611200000,0.0000514
1682640000000,0.00005434
1682668800000,0.0001
1682697600000,0.00008576
1682726400000,0.00006136
1682755200000,-0.00004155
1682784000000,0.00001043
1682812800000,0.00000106
1682841600000,0.00000177
1682870400000,-0.00003648
1682899200000,0.0000858
1682928000000,0.00005264
1682956800000,0.00000107
1682985600000,0.0001
1683014400000,0.00005136
1683043200000,0.00004872
1683072000000,-0.00004562
1683100800000,0.0001
1683129600000,0.0001
1683158400000,0.0001
1683187200000,0.0001
1683216000000,0.0001
1683244800000,0.00004261
1683273600000,0.0001
1683302400000,0.0001
1683331200000,0.0001
1683360000000,0.0001
1683388800000,0.0001
1683417600000,0.00009624
1683446400000,-0.0000038
1683475200000,0.00003148
1683504000000,0.00008703
1683532800000,0.00008905
1683561600000,0.0000705
1683590400000,0.0001
1683619200000,0.00008542
1683648000000,0.00008356
1683676800000,0.00007871
1683705600000,0.00005003
1683734400000,-0.00001589
1683763200000,-0.00001436
1683792000000,0.0000342
1683820800000,0.00001364
1683849600000,0.00003612
1683878400000,0.00006721
1683907200000,0.00006428
1683936000000,0.00003724
1683964800000,0.00003879
1683993600000,0.00003553
1684022400000,0.00007907
1684051200000,0.00004795
1684080000000,0.00008298
1684108800000,0.00007979
1684137600000,0.00001918
1684166400000,0.00005153
1684195200000,0.00003473
1684224000000,0.00007758
1684252800000,0.00008434
1684281600000,0.0001
1684310400000,0.0001
1684339200000,0.00007675
1684368000000,0.00005809
1684396800000,-0.0000095
1684425600000,0.0001
1684454400000,0.00007105
1684483200000,0.00009379
1684512000000,0.00007141
1684540800000,0.0001
1684569600000,0.0001
1684598400000,0.00002041
1684627200000,-0.00001167
1684656000000,0.0001
1684684800000,0.0001
1684713600000,0.0001
1684742400000,0.0001
1684771200000,0.0001
1684800000000,0.00006784
1684828800000,0.00004273
1684857600000,0.00002217
1684886400000,0.0001
1684915200000,0.0001
1684944000000,0.0001
1684972800000,0.0001
1685001600000,0.0000576
1685030400000,0.00005212
1685059200000,0.00003485
1685088000000,-0.0000191
1685116800000,0.0001
1685145600000,-0.00001856
1685174400000,0.00009096
1685203200000,0.00008723
1685232000000,0.00006006
1685260800000,-0.00005538
1685289600000,-0.00003221
1685318400000,0.00003516
1685347200000,0.00009328
1685376000000,0.0001
1685404800000,0.0001
1685433600000,0.0001
1685462400000,0.0001
