ts_ms,oi
1704970800000,54594.913
1704974400000,55475.78
1704978000000,56115.394
1704981600000,55492.402
1704985200000,57720.884
1704988800000,56369.337
1704992400000,57363.537
1704996000000,56629.385
1704999600000,57951.851
1705003200000,57469.796
1705006800000,57350.252
1705010400000,57366.939
1705014000000,57455.475
1705017600000,57419.599
1705021200000,56758.957
1705024800000,56214.097
1705028400000,56360.713
1705032000000,56464.469
1705035600000,56741.721
1705039200000,57024.463
1705042800000,57462.416
1705046400000,58092.356
1705050000000,58528.489
1705053600000,58013.704
1705057200000,57901.626
1705060800000,57769.464
1705064400000,57846.958
1705068000000,58939.259
1705071600000,61408.35
1705075200000,63524.596
1705078800000,62790.234
1705082400000,64124.77
1705086000000,65292.249
1705089600000,65458.601
1705093200000,65626.014
1705096800000,64564.199
1705100400000,58726.964
1705104000000,58518.189
1705107600000,58766.95
1705111200000,58359.423
1705114800000,58549.75
1705118400000,58556.376
1705122000000,58322.296
1705125600000,59254.59
1705129200000,59235.868
1705132800000,59456.87
1705136400000,59687.344
1705140000000,59522.263
1705143600000,59731.48
1705147200000,60023.943
1705150800000,60214.852
1705154400000,60124.341
1705158000000,60081.99
1705161600000,60483.669
1705165200000,60223.274
1705168800000,60099.555
1705172400000,59789.752
1705176000000,59845.979
1705179600000,59598.597
1705183200000,59468.985
1705186800000,59392.042
1705190400000,59421.751
1705194000000,59511.508
1705197600000,59434.066
1705201200000,59403.015
1705204800000,59549.853
1705208400000,59803.948
1705212000000,59767.318
1705215600000,60120.162
1705219200000,60201.1
1705222800000,60454.734
1705226400000,60323.759
1705230000000,60473.372
1705233600000,60349.264
1705237200000,61557.634
1705240800000,61316.253
1705244400000,61934.739
1705248000000,61886.089
1705251600000,61924.637
1705255200000,61873.002
1705258800000,61786.271
1705262400000,61681.485
1705266000000,61420.616
1705269600000,61496.32
1705273200000,61619.65
1705276800000,61092.757
1705280400000,60861.673
1705284000000,60924.97
1705287600000,60925.125
1705291200000,59521.717
1705294800000,59655.432
1705298400000,60608.865
1705302000000,60667.471
1705305600000,60665.173
1705309200000,60696.758
1705312800000,61022.16
1705316400000,59792.36
1705320000000,59750.265
1705323600000,59825.973
1705327200000,59619.504
1705330800000,60113.287
1705334400000,60068.655
1705338000000,59597.909
1705341600000,59264.163
1705345200000,58989.99
1705348800000,58902.266
1705352400000,58911.09
1705356000000,58989.037
1705359600000,58673.326
1705363200000,59472.029
1705366800000,59481.118
1705370400000,59684.5
1705374000000,59672.245
1705377600000,59572.696
1705381200000,59857.279
1705384800000,59845.185
1705388400000,59964.136
1705392000000,59589.095
1705395600000,58908.653
1705399200000,58674.112
1705402800000,58399.639
1705406400000,58691.25
1705410000000,58753.647
1705413600000,58685.532
1705417200000,61201.026
1705420800000,58727.382
1705424400000,58638.933
1705428000000,58657.969
1705431600000,57986.564
1705435200000,58026.611
1705438800000,58169.8
1705442400000,57675.372
1705446000000,57408.12
1705449600000,57586.097
1705453200000,57611.51
1705456800000,57626.346
1705460400000,57670.206
1705464000000,57759.928
1705467600000,57930.741
1705471200000,58024.761
1705474800000,58380.622
1705478400000,58736.819
1705482000000,59545.026
1705485600000,59581.613
1705489200000,59815.207
1705492800000,59951.305
1705496400000,59023.663
1705500000000,59830.692
1705503600000,58959.648
1705507200000,59145.187
1705510800000,59390.535
1705514400000,59510.681
1705518000000,59162.773
1705521600000,59070.585
1705525200000,58169.773
1705528800000,58309.884
1705532400000,57885.79
1705536000000,57985.309
1705539600000,57813.221
1705543200000,57883.241
1705546800000,57917.603
1705550400000,57975.459
1705554000000,58026.553
1705557600000,58195.06
1705561200000,58087.833
1705564800000,58129.056
1705568400000,58201.561
1705572000000,57983.771
1705575600000,57592.072
1705579200000,58130.862
1705582800000,58615.966
1705586400000,58866.045
1705590000000,58171.84
1705593600000,58116.578
1705597200000,57442.824
1705600800000,58105.24
1705604400000,58962.184
1705608000000,57980.425
1705611600000,59032.76
1705615200000,59095.446
1705618800000,59396.14
1705622400000,59436.602
1705626000000,59264.922
1705629600000,59168.569
1705633200000,58868.583
1705636800000,58981.547
1705640400000,58936.975
1705644000000,59142.04
1705647600000,59029.463
1705651200000,58962.319
1705654800000,58788.328
1705658400000,58947.145
1705662000000,59392.44
1705665600000,59401.424
1705669200000,59683.707
1705672800000,59873.044
1705676400000,60673.578
1705680000000,59815.081
1705683600000,59399.121
1705687200000,60006.509
1705690800000,58843.998
1705694400000,58872.53
1705698000000,57936.353
1705701600000,57630.065
1705705200000,57572.175
1705708800000,57680.951
1705712400000,56133.136
1705716000000,56201.414
1705719600000,56514.659
1705723200000,56974.64
1705726800000,57323.604
1705730400000,57181.003
1705734000000,57605.97
1705737600000,57613.666
1705741200000,57906.225
1705744800000,58124.816
1705748400000,58076.724
1705752000000,57885.882
1705755600000,57851.146
1705759200000,58044.559
1705762800000,58236.178
1705766400000,58169.429
1705770000000,58183.063
1705773600000,58151.976
1705777200000,58056.613
1705780800000,58118.171
1705784400000,57901.764
1705788000000,57728.314
1705791600000,57666.555
1705795200000,57596.626
1705798800000,57768.334
1705802400000,57735.077
1705806000000,57850.227
1705809600000,58148.016
1705813200000,58032.138
1705816800000,57817.596
1705820400000,57756.467
1705824000000,57645.399
1705827600000,57624.159
1705831200000,57507.615
1705834800000,58226.304
1705838400000,58261.433
1705842000000,58476.077
1705845600000,58762.521
1705849200000,59049.502
1705852800000,59417.907
1705856400000,59372.753
1705860000000,59255.238
1705863600000,58906.514
1705867200000,58843.824
1705870800000,58958.767
1705874400000,58816.582
1705878000000,58791.506
1705881600000,58946.21
1705885200000,58705.027
1705888800000,58159.322
1705892400000,58418.61
1705896000000,57817.0
1705899600000,56385.916
1705903200000,57238.603
1705906800000,57925.266
1705910400000,58181.507
1705914000000,58214.368
1705917600000,58116.14
1705921200000,57610.481
1705924800000,58935.58
1705928400000,59380.929
1705932000000,59699.405
1705935600000,59134.356
1705939200000,59368.203
1705942800000,60085.473
1705946400000,59658.753
1705950000000,57534.717
1705953600000,57487.715
1705957200000,56615.365
1705960800000,56323.587
1705964400000,56152.409
1705968000000,56553.682
1705971600000,56802.97
1705975200000,56688.877
1705978800000,56375.334
1705982400000,56370.002
1705986000000,56418.778
1705989600000,56602.702
1705993200000,56817.052
1705996800000,57429.478
1706000400000,57729.458
1706004000000,58852.117
1706007600000,58945.423
1706011200000,58831.926
1706014800000,59380.337
1706018400000,59495.404
1706022000000,60105.274
1706025600000,58357.448
1706029200000,58593.103
1706032800000,58248.82
1706036400000,58294.359
1706040000000,58080.07
