combo_id,atr_pct,ema50_slope,va_slope,pf,mdd,win_rate,ev_per_trade,n_trades,score
1,0.01,0.002,0.003,0.3247,0.0586,0.25,-0.009897,4,-999.0
2,0.01,0.002,0.005,0.3209,0.0593,0.2,-0.008058,5,-999.0
3,0.01,0.002,0.007,0.3695,0.0564,0.3333,-0.006234,6,-999.0
4,0.01,0.003,0.003,0.0,0.0593,0.0,-0.014825,4,-999.0
5,0.01,0.003,0.005,0.0,0.06,0.0,-0.012,5,-999.0
6,0.01,0.003,0.007,0.5222,0.0571,0.2857,-0.004095,7,-999.0
7,0.01,0.004,0.003,0.0,0.0588,0.0,-0.01471,4,-999.0
8,0.01,0.004,0.005,0.0,0.0595,0.0,-0.011908,5,-999.0
9,0.01,0.004,0.007,0.5262,0.0567,0.2857,-0.00403,7,-999.0
10,0.01,0.005,0.003,0.0,0.0813,0.0,-0.020328,4,-999.0
11,0.01,0.005,0.005,0.0,0.0655,0.0,-0.0131,5,-999.0
12,0.01,0.005,0.007,0.4784,0.0626,0.2857,-0.004881,7,-999.0
13,0.012,0.002,0.003,0.3247,0.0586,0.25,-0.009897,4,-999.0
14,0.012,0.002,0.005,0.5354,0.0593,0.3333,-0.004594,6,-999.0
15,0.012,0.002,0.007,0.584,0.0564,0.4286,-0.003525,7,-999.0
16,0.012,0.003,0.003,0.0,0.065,0.0,-0.013007,5,-999.0
17,0.012,0.003,0.005,0.0,0.06,0.0,-0.012,5,-999.0
18,0.012,0.003,0.007,0.035,0.0795,0.125,-0.009932,8,-999.0
19,0.012,0.004,0.003,0.0,0.0646,0.0,-0.012915,5,-999.0
20,0.012,0.004,0.005,0.0,0.0595,0.0,-0.011908,5,-999.0
21,0.012,0.004,0.007,0.0352,0.079,0.125,-0.009874,8,-999.0
22,0.012,0.005,0.003,0.0,0.087,0.0,-0.017409,5,-999.0
23,0.012,0.005,0.005,0.0,0.0655,0.0,-0.0131,5,-999.0
24,0.012,0.005,0.007,0.0328,0.085,0.125,-0.010619,8,-999.0
25,0.015,0.002,0.003,0.3247,0.0586,0.25,-0.009897,4,-999.0
26,0.015,0.002,0.005,0.5354,0.0593,0.3333,-0.004594,6,-999.0
27,0.015,0.002,0.007,0.584,0.0564,0.4286,-0.003525,7,-999.0
28,0.015,0.003,0.003,0.0,0.0593,0.0,-0.014825,4,-999.0
29,0.015,0.003,0.005,0.0,0.06,0.0,-0.012,5,-999.0
30,0.015,0.003,0.007,0.5752,0.0737,0.3333,-0.003616,9,-999.0
31,0.015,0.004,0.003,0.0,0.0468,0.0,-0.011707,4,-999.0
32,0.015,0.004,0.005,0.0,0.0475,0.0,-0.009506,5,-999.0
33,0.015,0.004,0.007,0.045,0.0612,0.1429,-0.00875,7,-999.0
34,0.015,0.005,0.003,0.0,0.0693,0.0,-0.017325,4,-999.0
35,0.015,0.005,0.005,0.0,0.0535,0.0,-0.010698,5,-999.0
36,0.015,0.005,0.007,0.0411,0.0694,0.1429,-0.009601,7,-999.0
37,0.018,0.002,0.003,0.3247,0.0586,0.25,-0.009897,4,-999.0
38,0.018,0.002,0.005,0.5354,0.0593,0.3333,-0.004594,6,-999.0
39,0.018,0.002,0.007,0.584,0.0564,0.4286,-0.003525,7,-999.0
40,0.018,0.003,0.003,0.0,0.0593,0.0,-0.014825,4,-999.0
41,0.018,0.003,0.005,0.0,0.06,0.0,-0.012,5,-999.0
42,0.018,0.003,0.007,0.5752,0.0737,0.3333,-0.003616,9,-999.0
43,0.018,0.004,0.003,0.0,0.0468,0.0,-0.011707,4,-999.0
44,0.018,0.004,0.005,0.0,0.0475,0.0,-0.009506,5,-999.0
45,0.018,0.004,0.007,0.045,0.0612,0.1429,-0.00875,7,-999.0
46,0.018,0.005,0.003,0.0,0.0693,0.0,-0.017325,4,-999.0
47,0.018,0.005,0.005,0.0,0.0535,0.0,-0.010698,5,-999.0
48,0.018,0.005,0.007,0.0411,0.0694,0.1429,-0.009601,7,-999.0
49,0.02,0.002,0.003,0.3247,0.0586,0.25,-0.009897,4,-999.0
50,0.02,0.002,0.005,0.5354,0.0593,0.3333,-0.004594,6,-999.0
51,0.02,0.002,0.007,0.584,0.0564,0.4286,-0.003525,7,-999.0
52,0.02,0.003,0.003,0.0,0.0593,0.0,-0.014825,4,-999.0
53,0.02,0.003,0.005,0.0,0.06,0.0,-0.012,5,-999.0
54,0.02,0.003,0.007,0.5752,0.0737,0.3333,-0.003616,9,-999.0
55,0.02,0.004,0.003,0.0,0.0468,0.0,-0.011707,4,-999.0
56,0.02,0.004,0.005,0.0,0.0475,0.0,-0.009506,5,-999.0
57,0.02,0.004,0.007,0.045,0.0612,0.1429,-0.00875,7,-999.0
58,0.02,0.005,0.003,0.0,0.0693,0.0,-0.017325,4,-999.0
59,0.02,0.005,0.005,0.0,0.0535,0.0,-0.010698,5,-999.0
60,0.02,0.005,0.007,0.0411,0.0694,0.1429,-0.009601,7,-999.0
