combo_id,ATR_BUFFER,MIN_SL_PCT,CHANDELIER_MULT,pf,mdd,win_rate,ev_per_trade,n_trades,score,pass
65,0.5,0.01,2.0,2.1296,0.0072,0.5,0.004065,2,-999.0,False
66,0.5,0.01,2.5,0.9328,0.0111,0.5,-0.000373,2,-999.0,False
67,0.5,0.01,3.0,0.3599,0.015,0.5,-0.004811,2,-999.0,False
68,0.5,0.01,3.5,0.0238,0.019,0.5,-0.009249,2,-999.0,False
69,0.5,0.012,2.0,2.1296,0.0072,0.5,0.004065,2,-999.0,False
70,0.5,0.012,2.5,0.9328,0.0111,0.5,-0.000373,2,-999.0,False
71,0.5,0.012,3.0,0.3599,0.015,0.5,-0.004811,2,-999.0,False
72,0.5,0.012,3.5,0.0238,0.019,0.5,-0.009249,2,-999.0,False
73,0.5,0.015,2.0,2.1296,0.0072,0.5,0.004065,2,-999.0,False
74,0.5,0.015,2.5,0.9328,0.0111,0.5,-0.000373,2,-999.0,False
75,0.5,0.015,3.0,0.3599,0.015,0.5,-0.004811,2,-999.0,False
76,0.5,0.015,3.5,0.0238,0.019,0.5,-0.009249,2,-999.0,False
77,0.5,0.018,2.0,2.1296,0.0072,0.5,0.004065,2,-999.0,False
78,0.5,0.018,2.5,0.9328,0.0111,0.5,-0.000373,2,-999.0,False
79,0.5,0.018,3.0,0.3599,0.015,0.5,-0.004811,2,-999.0,False
80,0.5,0.018,3.5,0.0238,0.019,0.5,-0.009249,2,-999.0,False
