combo_id,atr_pct,ema50_slope,va_slope,pf,mdd,win_rate,ev_per_trade,n_trades,score
1,0.01,0.002,0.005,0.0,0.0226,0.0,-0.007527,3,-999.0
2,0.01,0.003,0.005,0.0,0.0001,0.0,-5.4e-05,1,-999.0
3,0.01,0.004,0.005,0.0,0.0001,0.0,-5.4e-05,1,-999.0
4,0.01,0.005,0.005,0.0,0.0001,0.0,-5.4e-05,1,-999.0
5,0.012,0.002,0.005,0.0,0.0226,0.0,-0.007527,3,-999.0
6,0.012,0.003,0.005,0.0,0.0001,0.0,-5.4e-05,1,-999.0
7,0.012,0.004,0.005,0.0,0.0001,0.0,-5.4e-05,1,-999.0
8,0.012,0.005,0.005,0.0,0.0001,0.0,-5.4e-05,1,-999.0
9,0.015,0.002,0.005,0.0,0.0226,0.0,-0.007527,3,-999.0
10,0.015,0.003,0.005,0.0,0.0139,0.0,-0.006967,2,-999.0
11,0.015,0.004,0.005,0.0,0.0139,0.0,-0.006967,2,-999.0
12,0.015,0.005,0.005,0.0,0.0139,0.0,-0.006967,2,-999.0
13,0.018,0.002,0.005,0.0,0.0226,0.0,-0.007527,3,-999.0
14,0.018,0.003,0.005,0.0,0.0139,0.0,-0.006967,2,-999.0
15,0.018,0.004,0.005,0.0,0.0139,0.0,-0.006967,2,-999.0
16,0.018,0.005,0.005,0.0,0.0139,0.0,-0.006967,2,-999.0
17,0.02,0.002,0.005,0.0,0.0226,0.0,-0.007527,3,-999.0
18,0.02,0.003,0.005,0.0,0.0139,0.0,-0.006967,2,-999.0
19,0.02,0.004,0.005,0.0,0.0139,0.0,-0.006967,2,-999.0
20,0.02,0.005,0.005,0.0,0.0139,0.0,-0.006967,2,-999.0
